clip_filename,language,genre,speaker_name,primary_emotion,secondary_emotion,approved,qc_flags,duration_s,word_count,words_per_min,lufs,lufs_delta,true_peak_dbtp,rms_dbfs,snr_db,spectral_centroid_hz,silence_ratio,transcript
en_news_000_0003.wav,en,news,Arnab Goswami,neutral,formal,true,,52.185,132,151.8,-23.01,-0.01,-4.03,-23.46,34.1,1981.6,0.398,"And that picture, ladies and gentlemen, tells the story of India's significance in the global arena. This is the most powerful set of global leaders who are meeting together, and India there is right there on top. And here is my message from that picture. It is a message to everyone who said, oh, India is wilting under American pressure. That picture tells the story of a country that has held its own and is respected globally. This meeting is happening at a time when the whole world knows how India has held its ground in geopolitics and global economics. We have not only held our ground We have kept our strategic options open and most importantly, this meeting is happening ahead of Russian President Vladimir Putin's visit to India in September."
en_news_001_0001.wav,en,news,Arnab Goswami,intense_dramatic,formal,true,,53.045,136,153.8,-23.0,0.0,-2.13,-23.23,39.1,2599.2,0.347,"My view is that Trump has won nothing. Trump has got nothing, he's ending up looking even more foolish than he did when he started this war and we got himself into a log jam. He got into quicksand, he wanted an off-ramp, he wanted to get out of the situation, he couldn't. And now he says that the war is over. Only on Republic Tonight I am asking what has America actually got? What did Trump actually get for America? Actually very little. Some kind of a temporary pause. a sixty day window for negotiations, a sixty day negotiating window for the bigger issues. Not a solution, not an end to the war. Hormuz has been reopened, very good for all of us, but America has got nothing. he's only got some verbal Iranian promises."
en_speech_002_0004.wav,en,speech,Anand Mahindra,formal,neutral,true,,49.915,113,135.8,-22.97,0.03,-5.51,-23.56,28.5,2183.1,0.29,"the shadow of the metaverse. Entrepreneurs are buying up real estate on it. Countries are opening up virtual embassies in it. And through the metaverse, we can live not just a virtual second life, but also a parallel life where the virtual intersects with reality and the boundaries between the two. grow more and more blurred. Now in many ways it may actually enhance the effectiveness of diplomacy. Virtual face to face negotiations may become as effective as in person ones. Global summits and indeed side conversations where you can interact virtually, where you can smell the coffee almost, can lead to both quicker responses and actually make a dent in climate change."
en_speech_002_0005.wav,en,speech,Anand Mahindra,neutral,formal,true,,53.485,140,157.1,-22.97,0.03,-5.23,-23.42,28.3,2068.6,0.287,"On the other hand, the metaverse is likely to turn out to be the new Wild West. What laws will govern it? Who will have jurisdiction and over what? Who will own the new forms of data that the metaverse metaverse is going to generate? pupil dilation, heartbeat rates, biometric data. What happens to free speech and to privacy? The metaverse and indeed the technology driven world of the future is going to be like the force. from Star Wars of course. But as all of you know, by itself the force is neither good nor bad. It depends on who uses it and towards what end. So these are all the potentus issues that your generation will have to grapple with. But yours is not the usual graduating class. You have all experienced the disruption caused by Covid. You"
en_speech_002_0006.wav,en,speech,Anand Mahindra,neutral,calm_reverent,true,,53.795,146,162.8,-23.0,0.0,-5.69,-23.48,28.9,2072.2,0.292,"witness the absurdity of a brutal war taking place in the twenty-first century between affluent nations. You're seeing a world where few leaders are true or permanent role models. And in such a situation, this where there seems to be no certainty but only shades of gray. How does it make sense for me to tell you to go out into the world holding fast to your ideals. But my answer to that would be a resounding yes. Because it may in fact be the only way to make sense of a world in which the ground under your feet feels like quicksand. And because all of you are in a unique position to apply those ideals to your work right away, because you've all taken a decision to follow a career path that is going to have a wider impact on global issues than almost"
en_speech_002_0007.wav,en,speech,Anand Mahindra,conversational_casual,formal,true,,53.89,138,153.6,-22.99,0.01,-5.46,-23.72,28.9,2023.1,0.332,"any other career. So my first exhortation to you would be to embrace the ought, not the is. shape the world as it ought to be, rather than accepting it as it is. And human beings have never stopped aspiring to this ideal, no matter how messy the reality may be. And that's why the whole world loves it when David beats Goliath, when the good guy wins and the bad guy gets his comeuppance. may not always work that way in real life, but that's how we as human beings want it to be. And we make heroes out of those who make that happen. yet in a jagged and a paradoxical often brutal world, how can you hold fast to that ideal, to the ought? And that's where I think the centrality of purpose comes in."
en_speech_002_0010.wav,en,speech,Anand Mahindra,neutral,formal,true,,54.295,134,148.1,-22.98,0.02,-5.48,-23.35,27.8,1938.8,0.292,"The world's most powerful companies were at our doorstep, anxious to get a temptingly large piece of the Indian pie. For old economy companies like ours, which had prospered under a protectionist regime and had forgotten really how to compete, the opening of of the Indian economy was like the Grim Reaper knocking at the door. And seriously, there were people around large consultancy firms who were busy writing our epitaph. And yet, three decades later, Here we are, a multi-billion dollar group, still chugging along and earning goodwill while we do so. So how did we do it? Well, obviously, there were many ingredients. But to my mind the most important one was to harness the power of purpose. We found ourselves in a very strange back to the future kind of situation."
en_speech_002_0017.wav,en,speech,Anand Mahindra,conversational_casual,calm_reverent,true,,51.785,121,140.2,-22.97,0.03,-5.35,-23.48,28.6,2029.1,0.323,"and recognize a fellow student who stayed up with you all night to support you when life seemed overwhelming. A professor who postponed an exam when COVID anxiety was at its peak. parents who have worked tirelessly and sacrificed much to enable you to celebrate today. These are people who commit themselves to helping others rise in small but meaningful ways every single day. People who have come to understand the significance of empathy. they find ways to shape their world into what it ought to be. And I ask you, why can't the next individual who brings the is closer to the ought be you? So in closing, let me come back to my father. And I've often asked myself..."
en_speech_002_0018.wav,en,speech,Anand Mahindra,conversational_casual,neutral,true,,51.71,122,141.6,-23.01,-0.01,-6.05,-23.95,28.7,2031.8,0.37,"Why did he come to Fletcher? He had already been with been away from his family and home for four years as an undergraduate at Harvard. Why didn't he simply choose to go home after such a long absence? And if I were to guess what went through his mind, I would say he stayed on because he saw a new world in the making. He wanted to understand that world and he wanted to be part of the solution. He came as the original pilgrim, seeking answers. In a way, so are you all, pilgrims, in search of answers. all pilgrims in search of a better world. I once read the perfect definition of a pilgrim, which says that a pilgrim"
en_speech_003_0002.wav,en,speech,Palki Sharma,conversational_casual,neutral,true,,52.3,135,154.9,-23.0,0.0,-5.61,-23.93,45.5,2202.9,0.372,"cultural, personal, all kinds of stories in the most persuasive manner. I remember reading somewhere in the olden times they used to say that if you want to poison a people you should poison their wells. You know, they'll have contaminated water, they'll die. Now it is said that if you want to poison a people you poison their stories. When you poison their stories, you contaminate their minds, and it's it's worse than dropping bombs. Because then you take away the self-confidence of a country. You devastate their morale. And I think that is more damaging any day than poisoning water or poisoning wells. you make a country doubt its abilities. And we Indians have been through a very difficult phase where we were colonized and while we achieved independence seventy five years ago..."
